image-id,vehicle-id,color,attribute,seed,conditioning-scale
0,0,white,modern,1000,0.2
1,0,white,modern,1001,0.2
2,0,white,modern,1002,0.2
3,0,white,modern,1003,0.2
4,0,white,modern,1004,0.2
5,0,white,modern,1005,0.2
6,0,white,modern,1006,0.2
7,0,white,modern,1007,0.2
8,0,white,modern,1008,0.2
9,0,white,modern,1009,0.2
10,0,white,modern,1010,0.2
11,0,white,modern,1011,0.2
12,0,white,modern,1012,0.2
13,0,white,modern,1013,0.2
14,0,white,modern,1014,0.2
15,0,white,modern,1015,0.2
16,0,white,modern,1016,0.2
17,0,white,modern,1017,0.2
18,0,white,modern,1018,0.2
19,0,white,modern,1019,0.2
20,0,white,modern,1020,0.2
21,0,white,modern,1021,0.2
22,0,white,modern,1022,0.2
23,0,white,modern,1023,0.2
24,0,white,modern,1024,0.2
25,0,white,modern,1025,0.2
26,0,white,modern,1026,0.2
27,0,white,modern,1027,0.2
28,0,white,modern,1028,0.2
29,0,white,modern,1029,0.2
30,0,white,modern,1030,0.2
31,0,white,modern,1031,0.2
32,0,white,modern,1032,0.2
33,0,white,modern,1033,0.2
34,0,white,modern,1034,0.2
35,0,white,modern,1035,0.2
36,0,white,modern,1036,0.2
37,0,white,modern,1037,0.2
38,0,white,modern,1038,0.2
39,0,white,modern,1039,0.2
40,0,white,modern,1040,0.2
41,0,white,modern,1041,0.2
42,0,white,modern,1042,0.2
43,0,white,modern,1043,0.2
44,0,white,modern,1044,0.2
45,0,white,modern,1045,0.2
46,0,white,modern,1046,0.2
47,0,white,modern,1047,0.2
48,0,white,modern,1048,0.2
49,0,white,modern,1049,0.2
50,0,white,modern,1050,0.2
51,0,white,modern,1051,0.2
52,0,white,modern,1052,0.2
53,0,white,modern,1053,0.2
54,0,white,modern,1054,0.2
55,0,white,modern,1055,0.2
56,0,white,modern,1056,0.2
57,0,white,modern,1057,0.2
58,0,white,modern,1058,0.2
59,0,white,modern,1059,0.2
60,0,white,modern,1060,0.2
61,0,white,modern,1061,0.2
62,0,white,modern,1062,0.2
63,0,white,modern,1063,0.2
64,0,white,modern,1064,0.2
65,0,white,modern,1065,0.2
66,0,white,modern,1066,0.2
67,0,white,modern,1067,0.2
68,0,white,modern,1068,0.2
69,0,white,modern,1069,0.2
70,0,white,modern,1070,0.2
71,0,white,modern,1071,0.2
72,0,white,modern,1072,0.2
73,0,white,modern,1073,0.2
74,0,white,modern,1074,0.2
75,0,white,modern,1075,0.2
76,0,white,modern,1076,0.2
77,0,white,modern,1077,0.2
78,0,white,modern,1078,0.2
79,0,white,modern,1079,0.2
80,0,white,modern,1080,0.2
81,0,white,modern,1081,0.2
82,0,white,modern,1082,0.2
83,0,white,modern,1083,0.2
84,0,white,modern,1084,0.2
85,0,white,modern,1085,0.2
86,0,white,modern,1086,0.2
87,0,white,modern,1087,0.2
88,0,white,modern,1088,0.2
89,0,white,modern,1089,0.2
90,0,white,modern,1000,1.0
91,0,white,modern,1001,1.0
92,0,white,modern,1002,1.0
93,0,white,modern,1003,1.0
94,0,white,modern,1004,1.0
95,0,white,modern,1005,1.0
96,0,white,modern,1006,1.0
97,0,white,modern,1007,1.0
98,0,white,modern,1008,1.0
99,0,white,modern,1009,1.0
100,1,white,modern,1000,0.2
101,1,white,modern,1001,0.2
102,1,white,modern,1002,0.2
103,1,white,modern,1003,0.2
104,1,white,modern,1004,0.2
105,1,white,modern,1005,0.2
106,1,white,modern,1006,0.2
107,1,white,modern,1007,0.2
108,1,white,modern,1008,0.2
109,1,white,modern,1009,0.2
110,1,white,modern,1010,0.2
111,1,white,modern,1011,0.2
112,1,white,modern,1012,0.2
113,1,white,modern,1013,0.2
114,1,white,modern,1014,0.2
115,1,white,modern,1015,0.2
116,1,white,modern,1016,0.2
117,1,white,modern,1017,0.2
118,1,white,modern,1018,0.2
